Date,Time,V,I,PF,KW,ENERGY,TOTAL ENERGY
9/6/2014,3:00:00 PM,248.5734985,80.93647759,0.826427894,34.85,17.42,3186.60
9/6/2014,3:30:00 PM,248.533108,78.45177017,0.812179138,33.77,16.89,3203.49
9/6/2014,4:00:00 PM,248.6138891,68.14596077,0.826427894,29.34,14.67,3218.16
9/6/2014,4:30:00 PM,249.613555,58.00490475,0.826427894,25.08,12.54,3230.70
9/6/2014,5:00:00 PM,248.5129127,34.086825,0.826427894,14.67,7.34,3238.03
9/6/2014,5:30:00 PM,248.4523269,33.84719102,0.840676651,14.57,7.28,3245.32
9/6/2014,6:00:00 PM,248.4422293,21.31032683,0.826427894,9.17,4.58,3249.90
9/6/2014,6:30:00 PM,248.4018387,8.7646588,0.840676651,3.77,1.89,3251.79
9/6/2014,7:00:00 PM,248.3816435,4.263104978,0.840676651,1.83,0.92,3252.70
9/6/2014,7:30:00 PM,248.3210577,2.281436922,0.731554922,0.98,0.49,3253.19
9/6/2014,8:00:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,8:30:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,9:00:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,9:30:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,10:00:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,10:30:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,11:00:00 PM,0,0,0,0.00,0.00,3253.19
9/6/2014,11:30:00 PM,0,0,0,0.00,0.00,3253.19
9/7/2014,12:00:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,12:30:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,1:00:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,1:30:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,2:00:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,2:30:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,3:00:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,3:30:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,4:00:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,4:30:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,5:00:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,5:30:00 AM,0,0,0,0.00,0.00,3253.19
9/7/2014,6:00:00 AM,0,0,0,5.67,2.84,3256.03
9/7/2014,6:30:00 AM,248.262528,27.6052483,0.60527304,11.87,5.94,3261.97
9/7/2014,7:00:00 AM,248.886,61.60143532,0.62769056,26.55,13.28,3275.24
9/7/2014,7:30:00 AM,248.252472,75.91750791,0.6164818,32.64,16.32,3291.56
9/7/2014,8:00:00 AM,248.3832,94.17883689,0.60527304,40.52,20.26,3311.82
9/7/2014,8:30:00 AM,248.051352,110.514999,0.60527304,47.48,23.74,3335.56
9/7/2014,9:00:00 AM,248.121744,136.2967649,0.59406428,58.57,29.29,3364.85
9/7/2014,9:30:00 AM,248.101632,145.0215403,0.59406428,62.32,31.16,3396.01
9/7/2014,10:00:00 AM,248.23236,161.5881574,0.59406428,69.47,34.74,3430.74
9/7/2014,10:30:00 AM,248.18208,167.0658889,0.59406428,71.81,35.91,3466.65
9/7/2014,11:00:00 AM,248.48376,171.0955823,0.62769056,73.64,36.82,3503.47
9/7/2014,11:30:00 AM,247.991016,171.4504671,0.60527304,73.64,36.82,3540.29
9/7/2014,12:00:00 PM,248.051352,171.435021,0.62769056,73.65,36.83,3577.11
9/7/2014,12:30:00 PM,248.58432,168.1740315,0.6164818,72.41,36.20,3613.32
9/7/2014,1:00:00 PM,248.121744,165.3053701,0.63889932,71.04,35.52,3648.84
9/7/2014,1:30:00 PM,248.041296,154.7272712,0.66131684,66.47,33.24,3682.07
9/7/2014,2:00:00 PM,247.769784,149.1271613,0.65010808,64.00,32.00,3714.07
9/7/2014,2:30:00 PM,248.48376,131.0081853,0.65010808,56.38,28.19,3742.26
9/7/2014,3:00:00 PM,247.548552,127.4453295,0.65010808,54.64,27.32,3769.58
9/7/2014,3:30:00 PM,247.508328,110.7574648,0.63889932,47.48,23.74,3793.32
9/7/2014,4:00:00 PM,247.588776,94.6235521,0.65010808,40.58,20.29,3813.61
